craddock_cluster,yeo_network
1,1
2,7
3,1
4,4
5,7
6,4
7,6
8,2
9,0
10,3
11,7
12,6
13,4
14,7
15,5
16,3
17,3
18,0
19,7
20,4
21,2
22,7
23,6
24,2
25,6
26,1
27,5
28,2
29,7
30,0
31,3
32,5
33,4
34,6
35,2
36,3
37,1
38,6
39,6
40,7
41,1
42,6
43,5
44,1
45,0
46,7
47,5
48,1
49,7
50,3
51,7
52,0
53,7
54,1
55,4
56,7
57,5
58,7
59,4
60,2
61,6
62,1
63,3
64,3
65,2
66,2
67,4
68,0
69,4
70,1
71,5
72,7
73,3
74,7
75,6
76,4
77,0
78,5
79,4
80,0
81,1
82,7
83,4
84,0
85,1
86,0
87,5
88,2
89,1
90,2
91,7
92,5
93,3
94,0
95,7
96,2
97,1
98,2
99,6
100,3
101,7
102,1
103,1
104,7
105,1
106,7
107,7
108,1
109,7
110,5
111,2
112,5
113,6
114,3
115,6
116,4
117,7
118,0
119,4
120,1
121,2
122,1
123,2
124,6
125,4
126,1
127,6
128,4
129,7
130,0
131,1
132,3
133,7
134,2
135,0
136,3
137,4
138,1
139,7
140,7
141,7
142,1
143,3
144,7
145,5
146,2
147,1
148,0
149,6
150,1
151,6
152,1
153,7
154,2
155,5
156,6
157,2
158,1
159,1
160,5
161,4
162,1
163,3
164,6
165,4
166,7
167,6
168,4
169,6
170,1
171,3
172,1
173,7
174,7
175,1
176,0
177,1
178,4
179,1
180,3
181,5
182,4
183,6
184,4
185,2
186,7
187,7
188,3
189,1
190,5
191,7
192,1
193,7
194,0
195,1
196,7
197,4
198,5
199,7
200,2
